epoch,train_loss,val_loss,test_loss,train_acc,train_f1_weighted,val_acc,val_f1_weighted,test_acc,test_f1_weighted
1,0.6106267735132741,0.6906194838688261,0.5943911315900852,0.7080722451210022,0.6998283253009816,0.5860349535942078,0.5868681251451351,0.6703155636787415,0.6679259898401464
2,0.586803616662714,0.6927446135856267,0.5638810038273939,0.7231846451759338,0.7158594442869414,0.5960099697113037,0.5951850058017587,0.7520927786827087,0.754380780757192
3,0.6668763145086261,0.8769815928927458,0.5964856798192684,0.6391448378562927,0.5385143002111598,0.5374065041542053,0.40098456211458383,0.6529298424720764,0.5580346682456452
4,0.5629520312533842,0.7185291133802431,0.5416005371187629,0.7300036549568176,0.7303437168864745,0.5872818231582642,0.5877901021938997,0.7192530632019043,0.7192530585962653
5,0.7532851618738317,0.914237616527965,0.680336309663462,0.6081828474998474,0.46655874476940445,0.5735660791397095,0.41813058479000603,0.643915057182312,0.5281869072638159
6,0.5299955719063753,0.6815209548242223,0.5367343153586253,0.7515665292739868,0.7394181861119963,0.6396508812904358,0.6348586332207883,0.759819746017456,0.7531541392819241
7,0.5176071185766936,0.7186446257697376,0.5150105447435832,0.7476962804794312,0.7356478506902216,0.5423940420150757,0.5283515316613066,0.8106890320777893,0.8078121890044512
8,0.6278450709492671,0.7486291439214401,0.6791721617902526,0.6266126036643982,0.6149904728168096,0.561097264289856,0.5513189028032057,0.6052801012992859,0.5850798968708759
9,0.5021363178084762,0.6926764838787683,0.5305837596054815,0.7629929780960083,0.7570206174213988,0.5960099697113037,0.59569620639006,0.7578880190849304,0.7583391813439582
10,0.49619540913731486,0.7465049828590821,0.5133807182273631,0.7554367780685425,0.7470488816546846,0.576059877872467,0.5605449845705371,0.7520927786827087,0.7509240322957355
