epoch,train_loss,val_loss,test_loss,train_acc,train_f1_weighted,val_acc,val_f1_weighted,test_acc,test_f1_weighted
1,0.7592427415182403,0.8846823272140075,0.881297349102403,0.6670694947242737,0.5848363238126464,0.6208333373069763,0.5293774852598382,0.6521052122116089,0.5663478263219702
1,0.7592427415182403,0.8846823272140075,0.881297349102403,0.6670694947242737,0.5848363238126464,0.6208333373069763,0.5293774852598382,0.6521052122116089,0.5663478263219702
2,0.8771721148314771,1.0558346665503147,1.0323441439533705,0.6489426493644714,0.5219511947887279,0.6458333730697632,0.5133547008547008,0.6415789127349854,0.5188771973172801
2,0.8771721148314771,1.0558346665503147,1.0323441439533705,0.6489426493644714,0.5219511947887279,0.6458333730697632,0.5133547008547008,0.6415789127349854,0.5188771973172801
3,0.7877602852599589,0.9845552909187972,0.9134093728269401,0.635649561882019,0.6321495948076999,0.5645833611488342,0.5499377657873489,0.5784209966659546,0.5684912017859264
3,0.7877602852599589,0.9845552909187972,0.9134093728269401,0.635649561882019,0.6321495948076999,0.5645833611488342,0.5499377657873489,0.5784209966659546,0.5684912017859264
4,0.7346743097973374,0.8914793198307355,0.8519760638710699,0.6750755310058594,0.6098207101765056,0.5583333373069763,0.4690605239385728,0.6110526323318481,0.5407272419891977
4,0.7346743097973374,0.8914793198307355,0.8519760638710699,0.6750755310058594,0.6098207101765056,0.5583333373069763,0.4690605239385728,0.6110526323318481,0.5407272419891977
5,0.731770327736784,0.893774734887605,0.8445415575763112,0.6725075840950012,0.5868291543265818,0.5697916746139526,0.4751457072405291,0.645263135433197,0.5506089596017503
5,0.731770327736784,0.893774734887605,0.8445415575763112,0.6725075840950012,0.5868291543265818,0.5697916746139526,0.4751457072405291,0.645263135433197,0.5506089596017503
6,0.839241140313289,1.0404933829170961,0.9832727432996035,0.5771903395652771,0.5622498900483153,0.4989583492279053,0.48469555998314795,0.5094736814498901,0.5027949270488916
6,0.839241140313289,1.0404933829170961,0.9832727432996035,0.5771903395652771,0.5622498900483153,0.4989583492279053,0.48469555998314795,0.5094736814498901,0.5027949270488916
7,0.7311274840324847,0.8615311458085974,0.8557744908372038,0.6549848914146423,0.5438544932600474,0.6250000596046448,0.5032467532467533,0.6315789222717285,0.528309826483355
7,0.7311274840324847,0.8615311458085974,0.8557744908372038,0.6549848914146423,0.5438544932600474,0.6250000596046448,0.5032467532467533,0.6315789222717285,0.528309826483355
8,0.6997458503719453,0.8563840695113565,0.8682614216090817,0.6800604462623596,0.6030591486011412,0.6062500476837158,0.5206865097215975,0.648421049118042,0.5643900110016813
8,0.6997458503719453,0.8563840695113565,0.8682614216090817,0.6800604462623596,0.6030591486011412,0.6062500476837158,0.5206865097215975,0.648421049118042,0.5643900110016813
