epoch,train_loss,val_loss,test_loss,train_acc,train_f1_weighted,val_acc,val_f1_weighted,test_acc,test_f1_weighted
1,0.7916905635118124,0.9720081767688195,0.9318362144498449,0.6333836913108826,0.5986549427742555,0.5218750238418579,0.45554892117051665,0.6073684096336365,0.5755762402466196
2,0.7401501057990278,0.9150660699543853,0.8682691575469155,0.6737160086631775,0.6131035842924996,0.5833333730697632,0.4822222222222222,0.6442105174064636,0.5774412618315352
3,0.7690737234828066,0.8991644912632182,0.8910542594288525,0.6468278169631958,0.5175991744354784,0.6458333730697632,0.5133547008547008,0.6384209990501404,0.5187893773554019
4,0.8240865656425136,0.9952470235837002,0.9681840762927344,0.609063446521759,0.5992075655263527,0.5354167222976685,0.5341815394396656,0.5394736528396606,0.535804599286934
5,0.7248862551148204,0.923569670241947,0.8531939682246823,0.6838368773460388,0.6420778401307213,0.5947917103767395,0.5370952339601179,0.6357894539833069,0.5883910127260207
6,0.7243316555435114,0.9253738696376482,0.8614768960483764,0.6651057600975037,0.6476201964398,0.6031250357627869,0.5873819977030604,0.6247367858886719,0.6054176479232761
7,0.7271939760968764,0.8762933103988568,0.8440224091316524,0.6648036241531372,0.5669865704151983,0.6052083373069763,0.49339798378259925,0.6526315212249756,0.5555968924426328
8,0.7707030810348217,0.9487709769203018,0.8869198226458148,0.6951661705970764,0.6884642467077995,0.5718750357627869,0.5648858070001138,0.6536841988563538,0.635267618426904
9,0.7258904149992184,0.9139702920025835,0.8871188188481488,0.6829305291175842,0.6020887567800611,0.6031250357627869,0.4923469387755103,0.6526315212249756,0.5771329136955902
10,0.7993915330742422,1.0042893005069344,0.9289775203913451,0.5927492380142212,0.5806270085798949,0.5364583730697632,0.5266420313750446,0.5600000023841858,0.5538391825941517
