tag,step,value
loss,0,2.2182250022888184
loss,25,2.343719959259033
loss,51,0.6195113658905029
loss,76,0.30689483880996704
loss,102,1.5904616117477417
loss,128,4.801525115966797
loss,153,1.636084794998169
loss,179,1.2559337615966797
loss,205,0.6690080165863037
loss,230,1.2253074645996094
loss,256,0.7454485893249512
loss,282,0.8084204196929932
loss,307,0.23455092310905457
loss,333,0.6803314685821533
loss,358,0.9067965745925903
loss,384,0.3316589593887329
loss,410,0.8371599912643433
loss,435,0.465155690908432
loss,461,0.4950628876686096
loss,487,5.743961811065674
loss,512,1.2627003192901611
loss,538,0.64687180519104
loss,564,0.3160523772239685
loss,589,0.23857133090496063
loss,615,0.17534539103507996
loss,641,0.32822781801223755
loss,666,0.2334178239107132
loss,692,0.42410874366760254
loss,717,0.2649516463279724
loss,743,0.25194233655929565
loss,769,0.27990275621414185
loss,794,0.3919821083545685
loss,820,0.0906839519739151
loss,846,0.4568723440170288
loss,871,2.442641496658325
loss,897,1.5512852668762207
loss,923,0.37031289935112
loss,948,0.37988126277923584
loss,974,0.5395429730415344
loss,1000,2.298811435699463
loss,1025,2.326716661453247
loss,1051,0.6174187660217285
loss,1076,0.3256523013114929
loss,1102,1.6083276271820068
loss,1128,4.9128546714782715
loss,1153,1.6430480480194092
loss,1179,1.2279691696166992
loss,1205,0.6311200857162476
loss,1230,1.2336217164993286
loss,1256,0.7411128282546997
loss,1282,0.7776776552200317
loss,1307,0.21792788803577423
loss,1333,0.7043789625167847
loss,1358,0.893202543258667
loss,1384,0.32524818181991577
loss,1410,0.8443474769592285
loss,1435,0.46801939606666565
loss,1461,0.49877792596817017
loss,1487,5.820156097412109
loss,1512,1.2597928047180176
loss,1538,0.6256792545318604
loss,1564,0.3069121837615967
loss,1589,0.24266743659973145
loss,1615,0.16785812377929688
loss,1641,0.31620460748672485
loss,1666,0.22297303378582
loss,1692,0.40946057438850403
loss,1717,0.2548740804195404
loss,1743,0.24436593055725098
loss,1769,0.27390056848526
loss,1794,0.38830918073654175
loss,1820,0.08721636235713959
loss,1846,0.45970916748046875
loss,1871,2.4557485580444336
loss,1897,1.5578346252441406
loss,1923,0.367009699344635
loss,1948,0.3737592101097107
loss,1974,0.5259999632835388
loss,2000,2.3134703636169434
loss,2025,2.3236865997314453
loss,2051,0.6172817945480347
loss,2076,0.32973480224609375
loss,2102,1.6123510599136353
loss,2128,4.932553291320801
loss,2153,1.6447606086730957
loss,2179,1.2213492393493652
loss,2205,0.6220009326934814
loss,2230,1.2360870838165283
loss,2256,0.7401097416877747
loss,2282,0.768337607383728
loss,2307,0.21291106939315796
loss,2333,0.7122219204902649
loss,2358,0.8888676762580872
loss,2384,0.3231789469718933
loss,2410,0.847197413444519
loss,2435,0.46918225288391113
loss,2461,0.5002602934837341
loss,2487,5.852236747741699
loss,2512,1.2590446472167969
loss,2538,0.6200313568115234
loss,2564,0.3052601218223572
loss,2589,0.2431299388408661
loss,2615,0.16732783615589142
loss,2641,0.3159511685371399
loss,2666,0.22326037287712097
loss,2692,0.4104818105697632
loss,2717,0.2564716339111328
loss,2743,0.24604861438274384
loss,2769,0.27584654092788696
loss,2794,0.3900136649608612
loss,2820,0.08927398920059204
loss,2846,0.4569728672504425
loss,2871,2.4389476776123047
loss,2897,1.5478405952453613
loss,2923,0.3702757954597473
loss,2948,0.37983500957489014
loss,2974,0.5291919112205505
loss,3000,2.2957980632781982
loss,3025,2.3268747329711914
loss,3051,0.6174379587173462
loss,3076,0.32509952783584595
loss,3102,1.6082403659820557
loss,3128,4.904023170471191
loss,3153,1.6428428888320923
loss,3179,1.2275056838989258
loss,3205,0.630434513092041
loss,3230,1.2337766885757446
loss,3256,0.7411670684814453
loss,3282,0.775793731212616
loss,3307,0.21756044030189514
loss,3333,0.7045903205871582
loss,3358,0.8929870128631592
loss,3384,0.32524651288986206
loss,3410,0.844528317451477
loss,3435,0.467944860458374
loss,3461,0.49861568212509155
loss,3487,5.818687438964844
loss,3512,1.260045051574707
loss,3538,0.627031683921814
loss,3564,0.3085126280784607
loss,3589,0.24135783314704895
loss,3615,0.1702369749546051
loss,3641,0.320537269115448
loss,3666,0.22741593420505524
loss,3692,0.41643327474594116
loss,3717,0.2611382305622101
loss,3743,0.2497197985649109
loss,3769,0.27899453043937683
loss,3794,0.3923285901546478
loss,3820,0.09160949289798737
loss,3846,0.4542795419692993
loss,3871,2.4239749908447266
loss,3897,1.5391970872879028
loss,3923,0.37291866540908813
loss,3948,0.3846904933452606
loss,3974,0.5303913950920105
loss,4000,2.2821621894836426
loss,4025,2.3292720317840576
loss,4051,0.6176155209541321
loss,4076,0.32189077138900757
loss,4102,1.605454444885254
loss,4128,4.882368087768555
loss,4153,1.64139723777771
loss,4179,1.2319856882095337
loss,4205,0.6367490291595459
loss,4230,1.2321021556854248
loss,4256,0.742070198059082
loss,4282,0.781140148639679
loss,4307,0.22105497121810913
loss,4333,0.6988919377326965
loss,4358,0.8961418867111206
loss,4384,0.32687219977378845
loss,4410,0.8426060676574707
loss,4435,0.46703943610191345
loss,4461,0.4973650574684143
loss,4487,5.7926812171936035
loss,4512,1.260894775390625
loss,4538,0.6322579383850098
loss,4564,0.3111949563026428
loss,4589,0.23988330364227295
loss,4615,0.1726771891117096
loss,4641,0.3243459463119507
loss,4666,0.23068392276763916
loss,4692,0.42110326886177063
loss,4717,0.2648971378803253
loss,4743,0.2526237964630127
loss,4769,0.2814195156097412
loss,4794,0.39419814944267273
loss,4820,0.09341686964035034
loss,4846,0.4520910978317261
loss,4871,2.4124584197998047
loss,4897,1.5322294235229492
loss,4923,0.3746730089187622
loss,4948,0.3881213963031769
loss,4974,0.5276390314102173
loss,5000,2.271397113800049
loss,5025,2.3310303688049316
loss,5051,0.6177791357040405
loss,5076,0.31962668895721436
loss,5102,1.6035715341567993
loss,5128,4.863665580749512
loss,5153,1.6401712894439697
loss,5179,1.2353204488754272
loss,5205,0.6416379809379578
loss,5230,1.2307840585708618
loss,5256,0.7429263591766357
loss,5282,0.7851158380508423
loss,5307,0.22387127578258514
loss,5333,0.6941787004470825
loss,5358,0.8988099098205566
