prediction,target
0.28140664,-0.7204314
0.48651737,-0.77911216
0.4659264,0.68668497
0.33909446,-0.97440916
0.4574991,-0.956377
0.41384643,-0.97440916
0.4803214,-0.9010582
0.28093448,-0.97440916
0.4964465,1.2423186
0.40874645,1.6237438
0.4679516,-0.97440916
0.38998228,-0.74121416
0.3940359,0.39205852
0.42296305,0.80435216
0.45647052,0.31137243
0.46290484,-0.7720827
0.36137965,0.48038533
0.3550645,-0.39768705
0.3659127,1.2514875
0.14516036,3.2127094
0.36403158,-0.14432053
0.3847768,-0.4465877
0.3242698,-0.2898
0.38135418,-0.26718342
0.3620461,-0.03918413
0.17811927,-0.79775554
0.36430243,-0.6321046
0.288314,-0.31975165
0.33802143,-0.5006841
0.3370581,1.130764
0.34177214,-0.9731866
0.36423093,0.382584
0.23055956,-0.6874234
0.15453601,0.5800204
0.1982091,1.3792405
0.21461213,1.4186666
-0.034042746,0.5726853
0.1938553,-0.16418643
0.02865053,0.22457378
0.23835814,0.44676614
0.22126436,-0.815482
0.21955726,-0.55172414
0.22203666,-0.81028634
0.22463423,-0.934983
0.2142866,0.06900857
0.041063666,-0.9719641
-0.047056153,-0.75282806
0.21202362,-0.97440916
0.027717657,0.7371138
0.017996952,1.5708699
0.039264955,-0.5407215
-0.047239915,0.21326551
-0.18612713,0.3948092
-0.14518139,-0.22470099
0.031920753,0.81321543
0.039125957,2.0534582
0.019871034,-0.5306357
-0.22089821,-0.13576293
0.01926601,3.193149
0.04719857,-0.97440916
0.019615553,2.3031573
0.013634451,1.0638313
-0.18631124,-0.6388284
-0.12804294,-0.7057612
-0.106152326,0.29578537
-0.036162827,-0.8145651
-0.03157914,-0.33686686
-0.27551165,-0.8246509
-0.041011114,0.0525046
-0.0106029175,1.152158
-0.038759086,2.2774844
-0.010861177,0.5405943
-0.032203835,-0.027570223
-0.030690838,-0.97440916
-0.17296204,-0.59512347
-0.02351597,1.6955667
-0.028099135,-0.73938036
-0.011870492,2.6017568
-0.022068832,2.4486368
-0.2797493,-0.69567543
-0.00086731836,1.8985044
-0.02280027,-0.46095228
-0.0029293932,-0.97440916
-0.044241812,-0.39677018
-0.14822279,-0.96096146
-0.21397468,0.68913
-0.021441761,-0.7222651
-0.09966615,-0.66144496
-0.00521088,0.13135691
0.018698711,-0.97257537
0.013196837,2.7053652
0.037931178,1.3731279
0.011293668,0.8236068
0.005183466,1.4149991
0.0047208555,1.681202
0.0050334074,-0.75680125
-0.093297735,-0.14584868
-0.09193708,-0.9169509
0.08090469,0.024081092
0.08521026,-0.80234
0.08207146,-0.9340661
0.054905303,-0.87752473
0.05953306,0.8825932
-0.13189608,-0.78889227
0.09290329,0.5023906
0.085246496,-0.4988503
-0.06364933,-0.9255085
-0.13244537,-0.6785602
-0.0534575,-0.79164296
-0.1216091,-0.16357517
0.07493602,-0.64219034
0.051659442,3.1301897
0.16604823,0.754229
0.050605983,-0.97440916
0.15361169,-0.62232447
0.107752554,-0.55080724
0.119680844,0.9583892
0.06982169,-0.04988115
0.13221624,2.9620936
0.10605594,-0.74702114
0.14749211,-0.97440916
0.10913279,-0.3402288
0.106403165,0.73558563
0.11757236,-0.81884396
0.055668317,-0.6648069
-0.08873142,-0.7690264
-0.1074594,-0.033071548
0.10567204,-0.3066096
0.11815559,0.14572147
0.16343126,0.5659615
-0.083375216,1.9006437
-0.11600374,-0.9273423
0.086579196,-0.27237913
0.04471129,1.3691547
0.11040624,2.3627548
0.08653567,2.2319458
0.17701375,-0.030320887
-0.094108336,-0.71279067
0.052168466,-0.97440916
0.12014634,1.4452564
0.13287017,1.2945813
-0.09186651,-0.45025527
-0.09065905,0.737725
-0.021986388,-0.97440916
0.12832937,0.33154395
0.22043769,1.7120706
-0.03839655,-0.38515627
0.1848267,0.3275708
0.1763696,-0.70025986
-0.00079378113,-0.9731866
-0.028852303,-0.061189424
0.03943594,-0.73143405
0.16834472,0.90826607
0.1916801,0.8067972
0.21839349,-0.3182235
0.03794789,-0.75771815
0.12678963,-0.97440916
-0.0358718,-0.61621183
0.25809404,0.5378436
0.19321676,-0.19566622
0.2134561,0.9021535
0.22703964,1.4168329
0.23202157,-0.64035654
0.2343696,1.6280226
0.19649774,-0.82587343
0.29910365,2.234085
0.23918784,0.28661647
0.056780297,-0.9478194
0.21333036,-0.20941953
0.23713183,-0.041017905
0.25061247,-0.53827643
0.24880117,0.99323094
0.07468398,-0.45850724
0.23900121,0.6931032
0.20794968,-0.97440916
0.23551908,-0.8274016
0.26607564,-0.27971423
0.26101142,0.32084695
0.2554119,2.2502835
0.22965503,1.9846917
0.2565344,0.5919399
0.22566923,-0.4108291
0.20526654,-0.6302708
0.2687512,0.5632108
0.18106341,0.7141916
0.18494746,-0.97440916
0.036541417,-0.6428016
