epoch,train_loss,val_loss,test_loss,train_acc,train_f1_weighted,val_acc,val_f1_weighted,test_acc,test_f1_weighted
1,0.9758590959754341,1.0899828929792752,1.0473802325440877,0.4372294247150421,0.2684509006697457,0.3636363744735718,0.1983471074380165,0.4029850661754608,0.23150206414734834
2,0.8322422517326488,0.9001569025444262,0.9762628203007713,0.6623376607894897,0.6007748665617012,0.6666666865348816,0.5476190476190477,0.5223880410194397,0.45963681237433635
3,0.7601379641206749,0.8574136337547591,0.898400924988647,0.7272727489471436,0.697816613401029,0.575757622718811,0.4866850321395776,0.5522388219833374,0.4827317569932852
4,0.9085210749468247,0.9051641316124888,0.985994195760186,0.48051947355270386,0.463378801529545,0.4848484992980957,0.425925925925926,0.4477611780166626,0.3794727660399302
5,0.7049922646543423,0.8051329126412218,0.8611222506681485,0.7445887327194214,0.7014798142947698,0.696969747543335,0.5729603729603729,0.5820895433425903,0.5278930025198681
6,0.6834445028077989,0.7837672232452667,0.8147452436943552,0.709956705570221,0.6951324822166309,0.6363636255264282,0.5926406926406926,0.5373134016990662,0.5277426759670713
7,0.8413127787185438,0.8345244391397997,0.9746169932742617,0.5411255359649658,0.5462895491206916,0.575757622718811,0.5610389610389611,0.5074626803398132,0.4595705032367222
8,0.6536866651880212,0.7543744451620362,0.8100049948291992,0.709956705570221,0.7025418140189292,0.6666666865348816,0.6273919317397577,0.6268656849861145,0.6144150429303611
9,0.6797311146505726,0.7585917169397528,0.8024638592640856,0.6839826703071594,0.6945051620166828,0.575757622718811,0.5661375661375662,0.5820895433425903,0.5794067082051226
10,0.6471306515002857,0.7320414718353387,0.8110885926897624,0.701298713684082,0.6991567160831181,0.6666666865348816,0.6475417165954249,0.6268656849861145,0.6250958645507639
