epoch,train_loss,val_loss,test_loss,train_mse,train_pearson,train_r2,val_mse,val_pearson,val_r2,test_mse,test_pearson,test_r2
1,0.9512579509058765,0.8402588282787831,1.1317072958071632,0.9512580037117004,0.5217207670211792,0.057599425315856934,0.840258777141571,0.6393678784370422,0.11955612897872925,1.1317073106765747,0.30901989340782166,-0.1938021183013916
2,0.8094902467505628,0.7435194640393463,0.8730405286710587,0.8094902634620667,0.5503079295158386,0.19804704189300537,0.7435194849967957,0.5828738808631897,0.22092193365097046,0.873040497303009,0.30400893092155457,0.07905727624893188
3,0.779265040748636,0.6514938870086738,0.981620625568368,0.7792650461196899,0.5691292881965637,0.22799086570739746,0.6514938473701477,0.6622952818870544,0.3173486590385437,0.9816206097602844,0.30938318371772766,-0.035480499267578125
4,0.786452572966221,0.7022684804078938,0.8575399523016507,0.78645259141922,0.5837258100509644,0.2208702564239502,0.7022684812545776,0.6451908946037292,0.26414579153060913,0.8575399518013,0.32791897654533386,0.09540832042694092
5,0.6914316326878166,0.6032937615670321,0.9059006446066522,0.6914316415786743,0.5985972881317139,0.31500643491744995,0.603293776512146,0.6356777548789978,0.36785387992858887,0.9059005975723267,0.30246680974960327,0.04439419507980347
6,0.6892940877229125,0.6124872305893925,0.9458053256644464,0.6892940998077393,0.6084635257720947,0.31712406873703003,0.612487256526947,0.6228167414665222,0.35822075605392456,0.9458053112030029,0.3293708562850952,0.002299964427947998
7,0.6494466472903023,0.6170517802660173,0.8752184748512015,0.6494466662406921,0.6175270676612854,0.3566005229949951,0.6170517802238464,0.598877489566803,0.3534379005432129,0.875218391418457,0.331106573343277,0.07675987482070923
8,0.7836771489692976,0.7097820533078392,1.1311146115791288,0.7836771011352539,0.6277170777320862,0.22361987829208374,0.7097820043563843,0.6278375387191772,0.25627291202545166,1.1311146020889282,0.34338000416755676,-0.1931769847869873
