prediction,target
-0.07057668,-0.20063181
-0.01876859,-0.6891699
0.013812263,-0.270059
0.028953616,-0.70636743
0.0033613853,-0.6372587
0.0025011413,0.8162535
0.09605084,-0.66783214
0.11324437,1.245874
0.10990247,0.17962533
0.00023012236,-0.17865714
0.1254693,-0.040758204
0.00738639,0.36529526
-0.02064981,-0.31114206
0.012770604,-0.19298846
-0.0057014786,-0.98566854
0.11031318,-0.91019034
0.023454268,2.1633956
-0.09688625,-1.0439491
-0.0842688,-0.8834386
-0.009695578,-0.21273379
0.12592313,-1.0191082
-0.010882735,1.1665741
0.11476028,-1.0146496
-0.08015849,0.5350416
-0.03430355,-0.9828023
-0.080563754,-0.30891272
-0.08370684,-0.3105051
0.06177401,0.48344886
0.004976142,-0.9780252
0.104971364,-0.84331095
0.03598595,-1.0439491
-0.034761984,-1.0439491
0.12240454,-1.0439491
0.16750214,-1.0105095
-0.040472873,0.49682474
0.0479644,-0.6812081
0.07947688,-0.24075945
0.18170306,-0.34458175
0.14435577,2.3497026
0.049317762,-0.93184656
0.17800424,0.04427417
0.17205957,1.2799506
-0.02850131,1.829954
0.12336778,0.42007267
0.10878659,1.5675321
0.09691549,1.5592518
0.14585128,2.9318717
0.18325204,0.2659316
0.06839121,-0.6617812
0.17707911,0.30828854
0.13213477,-1.0136942
0.18709752,0.47039148
0.0442447,-0.9474517
-0.037988607,0.14937036
0.14819962,1.3987412
0.10607136,2.638558
0.072366364,-0.9999998
0.1871424,0.05382837
0.03284712,-0.47579277
0.1650325,0.27198258
0.14462337,2.3060718
0.03661959,-0.91783375
-0.03164189,-0.9525473
0.1146561,-0.39967763
0.2794402,-0.30126938
0.27140188,1.5879143
0.27217495,-0.7770685
0.22389428,1.640144
0.06472783,1.199377
0.17918138,0.8566996
0.22669257,-0.62260896
0.05194732,-0.8025464
0.064018026,-0.063051336
0.17693177,-0.01432492
0.21876203,-0.80891585
0.25820655,-0.8535021
0.2780407,0.08121707
0.21855487,2.1672173
0.25475895,-1.0159235
0.25733975,1.139504
0.053299848,-1.0439491
0.16028686,1.0770831
0.27152836,0.055102263
0.049060117,-1.0401275
0.24587817,-1.0439491
0.25013694,-0.640125
0.04953574,-1.0439491
0.18829684,0.7875909
0.17916183,0.91466177
0.15666471,-0.20063181
0.16871904,-0.6117809
0.23174046,-0.20031333
0.17213465,-0.9780252
0.064179584,0.2611545
0.24972107,-1.014968
0.052222583,0.35828885
0.2241927,0.0726183
0.2123888,-0.21464464
0.07913628,0.35478565
0.29021055,0.85606265
0.28450197,0.6168892
0.071315095,-0.97515893
0.2935996,0.4949139
0.3006678,-1.0254776
0.0757433,-1.0439491
0.30180848,0.3732571
0.2070929,0.32835236
0.30240503,-0.94363004
0.2225935,2.6516151
0.18843615,-0.9579614
0.2335491,1.8866423
0.29057974,0.18281007
0.28419104,1.0047897
0.27032042,2.0770893
0.2732349,0.7410938
0.30695826,-0.07579027
0.07538611,0.0127453115
0.3047322,0.07835081
0.26678687,1.0697583
0.07351023,-0.9608276
0.28255737,0.43886262
0.22185798,0.16465709
0.24886228,-0.34585565
0.19018342,-1.0388535
0.1886544,-0.2773839
0.22436108,-0.902547
0.21900262,-1.0439491
0.22519459,-0.12419821
0.32164943,-1.0439491
0.21405904,-0.07101317
0.3127256,0.46370354
0.28221524,0.48026413
0.061865628,-0.8694258
0.19850865,-0.82579494
0.22527193,-0.3748367
0.32472152,-0.81592226
0.33133394,3.3318741
0.23560391,-1.0356688
0.26852405,-0.7926737
0.06417498,-0.9133751
0.19375822,-0.16114111
0.3183275,-0.8235656
0.28853565,-0.17388006
0.3307181,0.52071023
0.059415795,-0.53757656
0.2954592,-0.9245217
0.21332075,-0.30509105
0.16192357,-1.0439491
0.19292368,-0.6579595
0.22087191,-0.18916677
0.056266844,-0.4464932
0.2917431,0.6442779
0.06732723,-0.012732553
0.1672776,0.6904565
0.28876698,1.0146624
0.19706108,-0.9359867
0.27261943,2.5598948
0.060788304,-0.21177837
0.2922384,-0.759234
0.28202003,-0.6863036
0.18667488,-0.1028605
0.20466848,-0.55700344
-0.045570396,-0.73598546
-0.048170585,0.033127606
0.26624107,2.1547968
0.2154603,-0.1171918
0.2155011,-0.5394874
0.21964547,-0.7292975
0.20754144,-0.3305689
0.22060794,-0.69999796
0.11788148,-0.3477665
0.15149723,-1.0426753
0.24816161,-0.8926743
-0.046351895,-1.0264331
0.21366847,3.1847396
0.2299791,2.240466
0.111124784,0.17612213
0.2631128,-0.36018693
0.13425311,-0.28152403
0.2613898,-0.4324804
0.2401092,0.84810084
-0.0362899,-1.0133758
0.21941775,-0.92929876
0.14036363,-0.68948835
0.0887655,-0.33375365
0.2701584,1.4860029
-0.05172241,0.17102656
-0.04879011,-0.30923122
0.15745012,-0.9955412
0.20701313,0.27548578
0.26751947,1.5356847
0.26016915,-0.6910807
0.024181489,2.0939684
-0.19139542,-1.0439491
0.15621391,-1.0439491
0.0055807866,-0.6611442
-0.17953672,-0.035981104
0.039927687,-0.7242019
0.017877907,-0.8299351
0.0124842785,-0.84076315
0.10989134,1.276129
-0.0075431764,0.19841525
0.04463091,-0.75732315
0.108114764,0.2968235
0.095235065,-0.033114847
-0.18419568,1.5691245
0.04417013,-0.8735659
0.03865188,2.0054328
-0.0048052147,0.56147486
0.0964756,-0.88025385
-0.03218951,-1.0439491
0.05007038,-0.956369
-0.02587847,-0.88980806
-0.18420185,-1.0328026
-0.18342261,-0.27101442
0.039315235,-1.0305732
0.054371927,-0.9929934
0.09568183,2.6404686
0.10976894,1.1060642
-0.0076886564,-0.5818444
0.09003167,-0.30986816
0.0044201277,-0.0006305674
0.09973283,1.3105241
-0.010477476,-0.10158661
-0.17292002,-1.0439491
-0.0130277015,0.8684831
-0.33616912,-0.15222387
-0.10480857,-0.586303
-0.024503622,-0.87229204
-0.005031474,-0.74458426
-0.33701882,-0.62993383
0.0446992,-1.0439491
-0.008061461,3.1407902
0.04570116,1.5793155
-0.3362912,-0.8700627
-0.09012523,0.37898964
-0.0061847307,1.0035158
-0.02360231,-0.6162395
-0.10123824,0.50287575
-0.0052748322,0.9127509
0.04680521,2.4423783
-0.08377522,-0.5659207
0.040809684,-0.30891272
0.046942137,-1.0439491
0.051521994,-0.41209808
-0.021208532,-0.663692
-0.0042489357,-0.9621015
0.03893488,1.2191223
-0.00645655,-0.41974145
-0.022480093,0.44905376
-0.019238465,0.78663546
-0.009699568,0.33217406
-0.16165578,-1.0439491
-0.33339897,-0.508914
-0.086429805,-0.27897623
-0.04832569,0.46242964
-0.45394188,-0.4706972
-0.12169564,-0.4312065
-0.45013392,-0.14266966
-0.4424578,-0.52706695
-0.101489976,2.0325031
-0.035179246,2.67773
-0.17202091,-1.0439491
-0.119170174,1.2531989
-0.26006752,-0.8560499
-0.18127048,1.5286783
-0.04638549,-0.3034987
-0.08531171,2.77996
-0.23321666,-0.2484028
-0.44790035,0.33185557
-0.4415166,-0.9159229
-0.2333687,-0.765285
-0.20590134,-0.21273379
-0.17908193,0.99332464
-0.023076054,0.9742163
-0.10326932,-0.101268135
-0.09184931,-1.0439491
-0.08910577,2.935375
-0.10560705,-0.0019044606
-0.09918673,0.18567632
-0.17264746,-0.6748386
-0.17613766,0.37262017
-0.089719914,-0.0098662935
-0.05229713,-0.83980775
-0.231329,-1.0385351
-0.11385678,1.7203993
-0.44779533,-0.31623763
-0.08699279,-1.0439491
-0.08092865,0.11274593
-0.043680906,0.3493716
-0.122849256,0.065611884
-0.09952469,-0.6413989
-0.17505944,-1.009554
-0.45572308,-0.94522244
-0.0850012,1.9665791
-0.084228605,-1.0439491
-0.16321239,-0.8385339
-0.45587465,-0.8815278
-0.44057652,-0.24872129
-0.45701167,-0.12547211
-0.027669618,0.028350504
-0.455492,-0.9703818
-0.14982876,-0.99426734
-0.09964293,0.20446625
-0.4642482,0.0006433259
-0.09854102,0.35637802
-0.08167553,1.4758117
-0.038160246,1.8560688
-0.14440137,1.6971507
-0.098667495,1.8264508
-0.1626377,-1.0226115
-0.09812938,-0.6006343
-0.2317875,-0.10445287
-0.44444695,-0.33470908
-0.15966457,-0.81146365
-0.24373181,-0.4706972
-0.018196907,0.33090016
-0.07597612,0.9137063
-0.46334872,-0.9420377
-0.07100369,0.11593067
-0.15353568,0.1751667
-0.4285452,-0.53821355
-0.11391871,0.1334467
-0.19246274,0.70829105
