prediction,target
-0.16297694,1.4758117
-0.12803937,-0.91974455
-0.24387033,0.1334467
0.25142878,-0.77738696
-0.24505855,-0.973885
-0.06696362,0.7780367
-0.23439622,-0.9929934
0.21817361,-0.48152527
0.20776124,2.5965192
-0.2428327,-0.8474511
-0.07428756,-1.014968
0.22730167,2.1012933
-0.24309142,0.9630697
-0.13233675,-1.0439491
0.22478457,-0.87229204
-0.2209545,-0.49967825
-0.37868544,-0.68694055
0.28107992,-1.0439491
0.30167705,0.7038324
-0.08522363,0.9742163
-0.12521936,0.32835236
0.26882246,-0.83375674
-0.17007664,1.5592518
0.26244947,0.2659316
-0.45071644,0.0127453115
-0.21704632,-0.6372587
0.21144877,0.23121801
-0.13813601,-1.0439491
-0.3981316,-0.9608276
-0.23053892,-0.9194261
-0.23761204,-1.0426753
-0.45818573,-0.75732315
-0.25681144,0.434404
-0.31599376,-0.5694239
-0.16761075,2.9318717
-0.32336417,-0.15222387
0.102373466,-0.5907616
-0.6038618,-0.9159229
-0.61007833,-0.94522244
0.076088205,1.216256
0.16760498,0.31943512
0.14339168,1.3105241
-0.23444632,2.0939684
-0.2316634,-0.4706972
-0.30762348,-0.6413989
-0.36864856,-0.6812081
0.14323094,0.18567632
-0.6118246,0.49682474
-0.36303464,-0.93184656
0.18241335,1.9665791
-0.59577084,-0.9420377
0.1768014,0.2968235
-0.5826,-0.063051336
-0.36266825,-1.0439491
0.14066137,-0.663692
-0.34170946,-0.16719212
-0.3657379,-0.6611442
-0.35289073,-0.81146365
-0.2634059,0.83313257
0.15649025,1.2799506
0.13905264,-0.089484625
-0.59753317,-0.23693776
0.16872855,-0.3273842
-0.36049983,-0.7242019
