prediction,target
0.041003063,-1.0356688
-0.07306257,1.5691245
0.34671435,-0.87229204
0.053378724,-0.9780252
0.38696525,0.2968235
0.96823996,-0.4324804
0.35331398,-0.033114847
0.70010245,2.638558
0.3112094,-0.30126938
0.033292554,1.5286783
0.16943657,1.6971507
-0.1364276,-1.0439491
0.60430086,-0.62260896
0.2781421,-0.663692
0.87867165,0.48344886
0.48156378,0.48026413
0.046362832,-0.07101317
0.3784615,-0.41974145
0.049560256,-0.586303
-0.14249027,-0.4464932
0.94451493,0.33090016
-0.08652426,-0.30891272
0.3763806,0.9127509
-0.06917381,-0.52706695
0.0459503,-0.21273379
-0.0764619,-0.9133751
-0.13613862,-1.0328026
0.03919179,-1.009554
-0.17529708,-0.9828023
-0.13923815,-0.62993383
0.4510636,-0.8235656
0.28477982,0.4949139
-0.27732512,-1.0439491
0.9743694,2.9318717
0.88121396,-0.07579027
0.1391552,2.5598948
-0.21278824,0.2611545
0.9319242,2.1547968
-0.26675865,-0.8694258
0.9048461,2.4423783
-0.23940536,-0.20063181
-0.2758707,0.56147486
0.16424921,0.35637802
0.9152125,1.5793155
0.23697169,2.6404686
-0.21526188,-0.14266966
0.40466252,0.3493716
0.19000237,0.8684831
0.17529689,1.139504
-0.23438108,-0.82579494
-0.096117415,0.37898964
0.25823095,0.05382837
0.19201314,-0.101268135
-0.20400546,-0.9159229
0.24572174,0.2659316
-0.21225722,-0.53821355
0.32097808,-1.0439491
-0.25769955,-0.93184656
0.29515934,-0.24075945
0.9902724,1.5356847
-0.060087517,-0.6117809
-0.20590584,-0.53757656
-0.19677472,-0.012732553
0.2375622,1.3105241
0.11905807,1.9665791
-0.3115076,0.49682474
-0.3669567,-0.8025464
1.0093552,2.3497026
0.1058819,-0.8535021
0.10419227,-1.0191082
-0.09905781,-0.956369
-0.3053971,0.0127453115
0.12087336,-1.0254776
-0.24945152,-1.0385351
-0.18959954,-0.01432492
-0.2928238,-0.2484028
0.12776874,-0.3305689
-0.18562612,-0.9780252
0.63913053,-0.270059
0.18967411,1.0035158
-0.4264759,-0.91783375
-0.36089078,-1.0439491
1.0228087,2.3060718
-0.13768384,2.0939684
-0.23982139,-0.10445287
0.44832185,-0.8926743
0.095567495,0.04427417
0.32891002,-1.0439491
-0.28051302,-0.4706972
-0.10482496,-0.902547
-0.13864838,0.8566996
-0.14764014,-1.0439491
0.9161647,1.4860029
-0.07447268,-0.75732315
0.05961443,-0.1028605
0.14564516,-0.6863036
0.4236642,-0.92929876
0.111384645,1.245874
0.03891246,-1.0439491
-0.021802776,-0.7926737
0.17997254,-0.4312065
-0.21162826,-0.3748367
0.0086039975,0.055102263
0.2570454,2.1672173
0.020060621,-0.0019044606
-0.4622923,0.33185557
-0.3358631,-0.6611442
-0.5427466,-1.0439491
0.698795,2.935375
-0.39597374,-0.24872129
0.10339555,-0.94363004
0.34507662,1.8560688
-0.20327006,0.0726183
-0.46356785,-1.0264331
-0.2393047,-0.27897623
-0.028072517,0.46242964
-0.21759991,-0.81146365
-0.42820543,-0.9525473
0.049221322,-0.9621015
-0.41416866,-0.33470908
-0.46590126,0.14937036
0.06315304,-0.6162395
-0.57025236,-1.0439491
0.10150172,-0.040758204
-0.2776082,-0.30509105
0.9764155,-1.014968
0.022316366,0.27548578
-0.13486822,0.7875909
0.42349365,0.36529526
-0.07468593,-0.91019034
-0.14574724,1.8866423
0.36965343,1.640144
-0.3121989,-0.18916677
0.5973013,-0.80891585
-0.005849216,-1.0105095
-0.34581226,-0.68948835
0.027988594,1.5879143
-0.5189468,0.0006433259
0.022807512,1.276129
-0.48126033,-1.0388535
-0.36810797,-0.0006305674
0.021455709,0.3732571
-0.48840457,-0.6579595
-0.042713996,-0.1171918
-0.390311,-0.765285
-0.39275205,-0.28152403
0.020433825,0.47039148
0.6590204,0.6168892
-0.42897242,0.70829105
-0.04052052,0.33217406
-0.54381514,-0.3105051
0.97935504,2.1633956
-0.5726759,0.17102656
-0.5991708,0.6904565
-0.09915984,0.17962533
-0.043744825,-0.9245217
0.44634384,2.240466
0.63148487,0.42007267
-0.54247284,1.829954
-0.26574132,-0.9955412
-0.33138034,0.1751667
-0.07909572,-0.7770685
-0.21692926,-1.0426753
-0.051622935,0.1334467
-0.32506657,-0.3477665
-0.32601961,-1.0439491
-0.08893661,0.44905376
0.40334743,-0.6413989
1.1303964,-0.41209808
0.99210405,-0.81592226
-0.01849863,-0.0098662935
-0.086531155,0.85606265
0.3884345,1.7203993
-0.34378707,-0.17865714
-0.50064754,1.199377
1.165337,0.9742163
-0.22182435,0.99332464
0.55181605,-1.0439491
-0.5794474,-1.0439491
0.6649233,1.0697583
0.44259596,0.7410938
-0.5142514,-0.12547211
-0.014440209,0.30828854
-0.05847579,-1.0439491
-0.60061663,-0.8560499
-0.5501795,0.033127606
0.8597677,-0.36018693
-0.12626243,-0.9929934
-0.0083103925,-0.74458426
0.5551017,-0.70636743
-0.6261045,-1.0439491
0.13788298,-0.88025385
-0.6206744,-1.0401275
1.080497,2.67773
-0.25055856,-1.0305732
0.6299365,2.0325031
-0.14226106,-0.17388006
-0.5512576,0.5350416
0.52325803,-0.39967763
-0.3971862,0.50287575
1.0232348,0.028350504
-0.41449073,0.8162535
-0.526775,-0.9579614
1.0360658,1.2191223
-0.57124376,-0.8834386
-0.6106586,-1.0439491
-0.16356184,-1.0146496
0.60608965,1.5592518
-0.14621803,1.0146624
-0.54851645,-0.21177837
1.1093715,0.52071023
-0.15434098,-1.0159235
-0.46033284,0.19841525
-0.13106333,-0.34458175
1.0235704,-0.30891272
0.48135784,0.46370354
1.1255585,3.3318741
