epoch,train_loss,val_loss,test_loss,train_mse,train_pearson,train_r2,val_mse,val_pearson,val_r2,test_mse,test_pearson,test_r2
1,0.7610220370668167,0.565046190741172,0.7764076833464687,0.7610220313072205,0.550051748752594,0.25201934576034546,0.5650461912155151,0.6655364036560059,0.3780016303062439,0.7764077186584473,0.5038028955459595,0.19962680339813232
2,0.7024409853243577,0.5320285113450898,0.7209394380882792,0.7024409770965576,0.5697475671768188,0.3095964789390564,0.5320284962654114,0.6748003363609314,0.41434717178344727,0.7209394574165344,0.5073593854904175,0.2568071484565735
3,0.77979254407418,0.6507988015852186,0.7725475327648696,0.7797925472259521,0.5859336256980896,0.23357051610946655,0.6507987976074219,0.6784366369247437,0.28360581398010254,0.7725475430488586,0.5143484473228455,0.20360612869262695
4,0.6696959119947636,0.4839590293163831,0.7376566715149112,0.6696959137916565,0.6001607775688171,0.34178048372268677,0.48395901918411255,0.6856205463409424,0.46726173162460327,0.7376567125320435,0.5380147695541382,0.23957395553588867
5,0.6713847853962741,0.4943254738375889,0.722898616046436,0.6713847517967224,0.6025105118751526,0.3401205539703369,0.4943254888057709,0.6787515878677368,0.45585036277770996,0.7228986024856567,0.5552597045898438,0.2547875642776489
6,0.714965493764821,0.6091282101452877,0.7023626451656033,0.7149654626846313,0.624748945236206,0.2972866892814636,0.6091281771659851,0.6944482326507568,0.329476535320282,0.7023626565933228,0.5642185807228088,0.2759574055671692
7,0.6151928268971244,0.47544565419060825,0.6580636945465373,0.6151928305625916,0.6381475925445557,0.39534950256347656,0.4754456579685211,0.6942436099052429,0.4766331911087036,0.6580637097358704,0.5798717737197876,0.3216237425804138
8,0.640211110585444,0.5117260777042247,0.7127334981120431,0.6402111649513245,0.6102811694145203,0.3707599639892578,0.5117260217666626,0.6755449175834656,0.43669599294662476,0.7127335071563721,0.5316222906112671,0.26526641845703125
9,0.7466647703970988,0.5706208269033288,0.860137218126128,0.7466647624969482,0.6544711589813232,0.26613062620162964,0.5706207752227783,0.6970352530479431,0.3718651533126831,0.8601371645927429,0.5981384515762329,0.11331284046173096
10,0.6290531441975576,0.4853213616445149,0.7180659250336185,0.6290531754493713,0.655600905418396,0.3817266821861267,0.48532137274742126,0.7014082670211792,0.46576207876205444,0.7180658578872681,0.5992781519889832,0.2597694993019104
