epoch,train_loss,val_loss,test_loss,train_mse,train_pearson,train_r2,val_mse,val_pearson,val_r2,test_mse,test_pearson,test_r2
1,0.7445589294969861,0.7797564972199428,0.9122437793561529,0.7445589900016785,0.5327354073524475,0.2209244966506958,0.779756486415863,0.6694245338439941,0.2770441770553589,0.9122437834739685,0.5529898405075073,0.17831432819366455
2,0.723102893109077,0.7558869507289196,0.8890828785575086,0.723102867603302,0.542526125907898,0.24337530136108398,0.755886971950531,0.6265475749969482,0.299174964427948,0.8890829086303711,0.5015159845352173,0.19917601346969604
3,0.6663201242291582,0.6488877042894645,0.7847651973454048,0.6663201451301575,0.5698097944259644,0.30279040336608887,0.6488876938819885,0.7074010968208313,0.39837998151779175,0.7847651839256287,0.6194084882736206,0.29313814640045166
4,0.7672835467235922,0.7375085875041485,0.8991860954604425,0.76728355884552,0.5751361846923828,0.197146475315094,0.7375085949897766,0.7255867719650269,0.31621456146240234,0.8991861343383789,0.6312187910079956,0.19007575511932373
5,0.6567781887576793,0.7066828608164453,0.8367523024967622,0.6567781567573547,0.5610465407371521,0.312774658203125,0.7066828608512878,0.6199418306350708,0.3447948098182678,0.8367522954940796,0.5225853323936462,0.24631178379058838
6,0.6100542452897567,0.5759236250540736,0.7107571528622367,0.6100542545318604,0.6053363680839539,0.36166465282440186,0.5759236216545105,0.7390649318695068,0.46602898836135864,0.7107571363449097,0.6518985033035278,0.35979944467544556
7,0.6028372810854083,0.5926689958018677,0.7183927944010818,0.6028372645378113,0.616432785987854,0.3692161440849304,0.5926689505577087,0.7262167930603027,0.45050346851348877,0.7183928489685059,0.6465646624565125,0.352921724319458
8,0.7755388023525337,0.7733784119295257,0.9331840047167197,0.7755387425422668,0.6170728802680969,0.18850857019424438,0.7733783721923828,0.7476081252098083,0.28295767307281494,0.9331839680671692,0.6608908772468567,0.15945285558700562
9,0.7420496466486801,0.6962515583038855,0.8012062617839547,0.7420496344566345,0.6381040215492249,0.22355014085769653,0.6962515711784363,0.7513494491577148,0.3544662594795227,0.8012062907218933,0.6924461722373962,0.27832913398742676
10,0.5815573019955298,0.5839549607013576,0.6943866856038924,0.5815573334693909,0.6469998955726624,0.3914826512336731,0.583954930305481,0.7540301084518433,0.4585827589035034,0.6943867206573486,0.6986300945281982,0.37454479932785034
