prediction,target
0.16133732,1.6240841
-0.30640742,0.35639203
0.25324416,-0.60697496
0.16797745,1.3016444
-0.440287,0.49570972
0.18753244,-0.020062137
0.13439824,1.8533161
0.07606894,0.86788225
-0.32003012,-0.75584394
0.13873112,-1.0631334
-0.22628762,-0.27827743
0.123233974,1.152446
-0.29552573,-0.42945194
-0.44149423,-0.17584763
0.00023553148,-0.3115424
0.30940387,-0.68009204
0.47901595,-0.73278904
0.15288635,1.3194296
-0.06493163,-0.04608128
-0.3323829,-0.48313698
-0.30152708,-1.0977157
-0.023221636,-0.012157588
-0.43553814,-0.17321278
-0.044075564,0.6959583
0.4982771,2.2103384
0.5009321,0.78653127
0.009149676,-0.94193023
0.23202942,1.0882215
-0.32846832,-0.86123794
0.24498312,0.4347788
0.5129352,-0.44427297
0.13925375,-0.83785367
-0.30287272,-1.0977157
-0.3270878,-0.9699255
-0.36279604,-0.85827374
0.17354244,-0.1979145
-0.088724956,-1.0977157
0.12210584,-0.8151281
0.11341646,0.95153874
0.47999907,-1.0884937
0.14989094,1.8730775
0.13779424,-1.0977157
-0.06564702,0.16404799
0.15889925,-0.5694283
0.04491513,-0.0052411077
-0.33901647,-0.80524737
0.13621095,-0.19165674
0.14160757,-1.0835534
0.42773145,-0.24896471
-0.07404048,-0.12907904
0.21029787,-0.105694756
-0.44044766,-0.33920833
0.169272,1.2160118
-0.3863282,-1.0660975
0.08555502,3.2754762
0.08962887,0.69497025
-0.07799972,-0.85530955
0.106660016,-0.6547316
0.061907217,0.74239755
0.09305859,-0.0602436
-0.47668532,-1.0977157
-0.48151326,-1.0861882
0.076806225,-0.124468066
0.18571712,0.6416145
0.021349268,-0.6553903
0.032477453,0.1587783
-0.5162699,-0.26312703
0.06642264,-0.4057383
0.044763654,-0.28980488
-0.5265773,-0.91459364
0.06642264,-0.71599185
-0.16890267,-0.90339553
0.034456156,0.17392868
0.08620022,-1.0604985
0.04988671,0.06293563
0.36619064,-0.86189663
-0.04976052,-0.8012951
0.03241662,0.12748945
0.15346003,-1.0977157
0.03067003,-0.98606396
-0.09492268,2.4435225
0.0028571337,3.4052427
-0.07273559,-0.44987202
-0.04959958,1.2752959
-0.5442358,0.97920465
-0.25430268,-1.0512764
0.028805025,-0.17551827
-0.06421291,-0.88824517
-0.02462463,1.5806091
-0.09611482,-0.8210565
-0.04455349,2.05587
-0.14669362,0.4785832
-0.07147505,-0.4087025
-0.5314307,-1.0977157
0.0003746748,3.230025
-0.23113061,0.32148027
-0.22173212,-0.4446023
-0.5971228,-0.48643056
-0.042701673,1.5147378
0.0154549815,-1.0977157
-0.6398064,-0.5048745
-0.28353396,-1.0921167
-0.075608864,1.0981022
-0.64248025,0.5352325
-0.030008312,0.04976138
-0.5480063,0.5882588
-0.076481596,1.1998733
-0.19619004,-0.9514815
-0.22209041,0.98513305
0.06353712,-1.0374435
0.01901792,0.32543254
-0.044531684,-0.36588618
0.06595742,-0.8487224
0.30772462,2.751141
0.011677993,-0.564488
-0.47919142,-0.2166878
-0.519233,-0.4867599
-0.5794616,0.34881684
0.026529169,1.0197154
-0.023934307,2.0571876
-0.5430707,-0.7907557
0.28855607,-0.33756155
0.055278704,-0.37444943
0.037121788,-0.66263616
-0.09586863,0.562569
-0.017713362,0.69266474
-0.033424422,1.3922174
-0.48236102,-0.29639202
0.110473454,0.66466945
0.08287059,1.598065
-0.1484067,-1.0977157
-0.43500498,0.09652997
-0.40797767,0.08994284
0.12637667,-0.043117072
0.1439301,2.1276698
0.1583299,-0.1392891
0.1197076,-0.11195253
-0.16821207,-0.96893746
0.04639851,0.5632277
0.08510247,0.22102661
0.09110521,1.0694482
0.08296229,-0.19033931
-0.09005278,-0.36325133
-0.48746654,0.56223965
-0.39443037,-0.50388646
-0.042476453,-1.0657681
0.029046668,-0.9159111
0.18427859,0.121890396
-0.2931715,-0.7097341
-0.2934564,-0.4521775
-0.27405387,0.54577184
0.15414424,0.43576688
0.24538858,-0.7637485
-0.05278998,0.18710293
0.2702434,-0.9742071
-0.04795172,0.055689793
-0.3534884,-0.8651902
-0.3097916,-1.03415
-0.29593426,-0.4996048
0.48710272,2.4204676
-0.2267947,-1.0127418
0.3114438,0.3679195
0.03193367,-1.0216345
0.3219598,0.2760291
-0.32012263,0.35243976
0.29319215,0.0985061
0.5281004,-1.0664269
-0.20706652,-0.90537167
0.5394537,3.0139675
0.23446222,2.286749
0.2724384,-1.0977157
-0.01067045,-1.0977157
-0.30445638,-0.95016414
0.28009593,-0.95839804
0.28966612,-0.020062137
-0.31733465,-0.017427288
-0.22884978,-0.7199441
-0.1463908,-0.9728897
0.13440186,1.7498982
-0.13982338,-0.8905507
0.060544282,-0.71006346
-0.15911041,-1.0499591
0.37598598,-1.0315151
0.19029127,-0.22064008
-0.15271994,-0.7565027
0.35444403,0.46837315
-0.1709438,-0.7732998
0.37359044,-1.0977157
0.38547933,0.308306
0.25630295,1.5183609
0.08890063,0.8105743
-0.27869782,-1.0216345
-0.21698977,-0.68799657
0.37661028,-0.35798162
0.3430052,-0.28124163
0.5421482,-0.72356707
0.35243067,0.21147528
-0.16679572,0.5961634
0.32866937,0.1933607
-0.15195455,-0.6392518
0.15455335,-0.80788225
-0.18969752,-0.8566269
0.31584486,0.8652474
0.054002747,0.422922
-0.17428638,-0.7545265
-0.18486889,-0.8329133
-0.1914576,-0.40079793
0.09606391,0.5019675
0.16782807,-1.0463362
0.2822453,0.82572466
0.25444105,0.50295556
0.12979625,-1.0068134
0.31281418,0.288874
-0.22713599,-0.7156625
0.27900872,1.5944421
0.18025471,1.6780986
0.23453718,-1.0977157
0.15010734,-1.0344793
0.29599163,-0.21108875
0.25545868,0.1933607
-0.2113796,-0.9106414
0.2518822,-0.8546508
-0.033567812,-1.0977157
0.27642098,-0.17551827
0.1821636,-0.37280264
-0.02286997,1.7130103
-0.06511858,-0.698536
-0.015987676,-0.603352
-0.04731251,-0.2400721
0.24182574,-0.8757296
-0.1972417,-0.93797797
0.23346077,-0.42418224
0.23813502,2.8568645
0.2530541,-0.1294084
0.1973264,-1.0713673
0.2090377,-0.33591476
0.21955515,-1.0226225
-0.3722415,-0.6695526
0.2164527,0.6521539
0.18594363,-0.22031072
-0.41023213,-0.3958576
0.109379694,0.41633487
-0.42908782,0.00892121
-0.18754333,-1.0977157
0.13516873,0.9745937
-0.49750572,-0.46107012
-0.12076805,-0.09153244
-0.19890736,0.43049717
0.08106162,1.6774398
-0.035639405,-0.70182955
0.09167779,0.46738508
-0.010899993,1.5400983
0.1313875,0.065899834
-0.048779897,-0.76704204
-0.19204402,-0.5048745
-0.49948502,-0.33756155
-0.19085422,0.16305992
-0.19164173,-0.6507793
0.04999312,1.7821752
-0.46743348,-0.98540527
-0.12037034,2.162911
0.049949516,-0.1106351
-0.25798,0.12650138
-0.47636083,-0.96136224
0.06977993,1.7578027
-0.49417207,-1.0660975
-0.5423817,-1.0117538
-0.18974729,-0.4696334
-0.46392727,-0.731801
0.031065907,-0.70182955
-0.22777648,-1.0621452
-0.1761644,-1.0756489
0.01938174,0.30073082
-0.014222067,1.7808577
-0.017497782,-0.6392518
0.016662665,0.20851108
-0.046930853,0.4463063
-0.31150553,1.0957967
-0.03877184,0.62811095
0.013831545,1.3055967
0.0027629398,0.26581907
-0.3131494,-0.8424646
-0.09339833,-0.61125654
-0.050783638,-1.0977157
-0.07327296,-0.21767588
0.011252504,2.1550064
-0.5757173,-1.0977157
-0.52628887,-0.69359565
-0.54253626,-1.0884937
-0.05636179,0.30665925
-0.23049904,-0.12315064
0.0078639425,1.602676
-0.03515708,1.4844371
-0.5820432,-1.0977157
-0.05719499,0.5411609
-0.04270075,0.17853966
-0.47982976,-1.0137299
-0.010122817,0.7466792
-0.6050832,-0.9653145
-0.231288,-0.23809595
-0.039557435,0.57837814
-0.038489733,0.43379074
-0.01835604,0.51744723
0.033291508,0.10575194
-0.28679198,0.15219116
0.012822729,-1.0977157
0.069237545,-0.5371514
0.036213625,-0.9923217
-0.55500275,-1.096069
-0.53876317,0.33070225
0.042074785,2.4280427
0.041439462,0.62251186
0.108658224,-0.80327123
-0.2247677,0.9950138
-0.49588937,-0.7894383
-0.2342311,0.27965203
0.100400865,-1.0189996
0.02781872,1.5819266
-0.51691085,-1.0015436
-0.23566063,1.4725803
