prediction,target
-0.41959706,-0.93655
-0.41186994,-0.4923868
-0.5386093,-0.18450092
-0.534849,-0.9151732
-0.42357928,0.86741775
-0.5704861,-0.6740899
-0.5448852,0.67354167
-0.54505783,-0.27297726
-0.5568733,-0.74237704
-0.35333163,-0.41578645
-0.5387701,1.3047522
-0.5161373,-0.8937963
-0.5751396,2.0562074
-0.44567972,1.6571732
-0.50746495,2.965911
-0.3654834,0.0919135
1.5445222,-0.25278804
1.6942909,-0.84480774
1.6900506,-0.5550328
1.6316991,-0.8534179
1.7052321,0.07706847
1.588869,-0.022096314
1.578752,-0.022096314
1.5930654,-0.32137206
1.5666437,1.2432939
1.567194,0.535186
1.7101662,-0.93655
1.6225088,-0.5208892
1.6698645,-0.32612246
1.6158714,-0.27149278
1.6165147,0.81011593
1.7026626,-0.8623249
0.53881085,-0.38164288
0.69240195,-0.75455
0.61326545,-0.81482077
0.68301976,-0.42083374
0.7263193,-0.2878223
0.84706974,1.8537214
0.57918775,-0.6120377
0.6158798,0.7418288
0.6807035,-0.9341748
0.7040958,-0.37629867
0.8191893,-0.7788958
0.59382904,0.06103584
0.62352484,0.32735562
0.63809896,-0.06425619
0.56823444,0.7290621
0.74412954,2.2147524
-0.4168332,1.3881813
-0.43324843,0.22730015
-0.4672008,0.32171452
-0.3796823,-0.7619725
-0.4487441,-0.17262489
-0.38268766,-0.25456944
-0.41271314,-0.89706224
-0.3240308,-0.47635415
-0.43836048,-0.63252383
-0.4567941,0.72609305
-0.38918802,-0.80917966
-0.2444115,-0.93655
-0.46317968,-0.7581128
-0.38005105,-0.6274765
-0.34152249,2.13548
-0.4464062,1.2302302
-0.7785351,1.0194308
-0.6533221,-0.68982565
-0.6735169,-0.8890459
-0.77383983,-0.7895842
-0.76701,-0.53128076
-0.78545576,-0.2999952
-0.7714674,-0.78542763
-0.8230162,3.0537934
-0.74566174,2.2474115
-0.67110157,-0.53335905
-0.80531865,-0.93655
-0.70955473,-0.90953207
-0.7202782,-0.85638684
-0.7049958,0.50965255
-0.79655874,1.6930982
-0.8085739,-0.8899366
-0.6032656,0.2560995
-0.6199237,0.72609305
-0.5510054,-0.93655
-0.6211936,-0.89735913
-0.6204304,-0.92704916
-0.54205894,1.2676396
-0.5624415,-0.91962665
-0.6288211,-0.8474798
-0.61024606,0.15159051
-0.61814165,3.1606777
-0.6115952,-0.7218909
-0.61442745,0.8552448
-0.63113487,-0.93655
-0.54747903,1.7643543
-0.6121373,2.1895158
-0.5164838,-0.7741454
-0.21190616,-0.3947065
-0.20796776,-0.74534607
-0.20318463,-0.5523607
-0.21303907,0.08745999
-0.22538528,-0.5829415
-0.23124054,-0.13848133
-0.21391103,-0.6666674
-0.22140428,-0.90626615
-0.17111066,-0.91190726
-0.22663856,0.75400174
-0.20352525,0.8110066
-0.13405506,-0.53395283
-0.17630789,-0.46893165
-0.19857599,0.6153492
-0.22529739,-0.23913062
-0.20732486,-0.6945761
0.08410892,1.1182986
0.06627661,-0.7212971
0.14605589,-0.5980834
0.060295835,-0.13551232
0.09222861,-0.441023
0.0671353,0.7563769
0.124221876,-0.13699682
0.14643756,2.9546287
0.15229666,1.6732059
0.15258452,0.92382884
0.08698776,-0.927643
0.047483355,-0.37689248
0.13538584,1.2183542
0.046215072,-0.36531335
0.13616033,-0.7560345
0.1498091,2.463852
0.38128942,-0.52593654
0.48010758,-0.93655
0.39897993,-0.2863378
0.40584132,1.3498812
0.40982255,-0.4457734
0.39213073,-0.6871535
0.46335945,1.3439431
0.40177873,-0.41756785
0.4863296,2.1230102
0.3648088,1.7931536
0.37371215,1.8566904
0.39072815,2.5728145
0.3899446,0.26530343
0.47548965,-0.89735913
0.48243776,-0.67676204
0.3275614,-0.18420401
0.6061984,-0.2821812
0.6438405,1.3863999
0.5737508,-0.20825295
0.7445729,-0.7043738
0.65656763,-0.3522497
0.74365896,-0.54820406
0.6624267,3.1309874
0.6517261,-0.7527686
0.7593797,0.33655956
0.59829116,0.3104323
0.6347233,-0.93655
0.63897043,-0.93655
0.6303569,2.6016138
0.5824361,-0.7091242
0.662879,-0.13907513
0.63287556,-0.27624318
0.7818379,-0.93655
0.77673435,-0.7821617
0.7817838,-0.6058028
0.7883832,-0.24239652
0.7667879,0.0384714
0.7826647,0.74271953
0.79591656,-0.31394956
0.78083575,-0.769395
0.66386163,-0.51673263
0.7558211,-0.93655
0.625069,-0.7952253
0.7859164,-0.58977014
0.66760504,-0.68952876
0.6283699,-0.7506903
0.7460287,0.5325139
0.70556605,0.6771045
0.37381136,0.5663606
0.3980379,-0.17173418
0.4227374,-0.7100149
0.4526994,0.45175695
0.38431993,-0.28099358
0.4983138,-0.8608404
0.50879145,-0.7584097
0.37397733,-0.5767065
0.38896915,-0.14887285
0.36456162,-0.8222433
0.4709632,3.2200577
0.41743216,-0.53870326
0.40142894,-0.4353819
0.4001352,-0.73495454
0.50399864,0.7504389
0.45864874,-0.35462493
0.08131519,1.3489904
0.08945958,-0.023877716
0.06496313,-0.7702857
0.19683284,-0.37570485
0.15777284,-0.25605395
0.16612121,0.43423983
0.061501686,-0.8801389
0.15919155,1.2783281
0.055388626,-0.022096314
0.06427491,-0.68240315
0.1401345,1.0176494
0.1742427,2.2889776
0.08564505,-0.7702857
0.1821084,0.55982876
0.13431121,-0.93655
0.08650383,-0.93655
-0.19646245,-0.87301326
-0.18689126,-0.918736
-0.105175704,2.9041555
-0.15460931,-0.75751895
-0.11737266,1.9365566
-0.10490349,0.40039316
-0.17226098,0.33210605
-0.10784635,-0.26169506
-0.13338909,-0.5547359
-0.10096517,-0.13016811
-0.12353888,-0.14145033
-0.18845154,0.24184828
-0.11333871,0.03342409
-0.15766644,1.1877735
-0.109576315,-0.43122527
-0.08070499,0.19582869
-0.25136817,-0.3347326
-0.34934407,-0.42795935
-0.2894446,-0.47962007
-0.28830445,-0.57076854
-0.45284203,-0.049411163
-0.35588247,-0.67141783
-0.28309765,-0.93655
-0.29984543,-0.18479781
-0.29001608,-0.45972773
-0.29774064,-0.715656
-0.29712912,1.8543152
-0.3648933,-0.30741775
-0.31533024,0.59159714
-0.25972384,-0.5731437
-0.32103708,2.3887362
-0.33903044,0.26767862
-0.44858548,2.473353
-0.3903862,-0.6892319
-0.3517269,-0.029815728
-0.3373492,3.2200577
-0.33752996,-0.5535483
-0.34739688,-0.93655
-0.39112845,-0.6651829
-0.375302,1.5749317
-0.3488746,0.15159051
-0.3843302,-0.5024814
-0.3569093,-0.4389447
-0.36137122,-0.2795091
-0.37855712,0.4766966
-0.39879936,-0.57373756
-0.43440613,-0.93655
-0.3767107,-0.53751564
-0.45206878,-0.6663705
-0.33704904,1.129284
-0.42406958,-0.5900671
-0.36979124,-0.74000186
-0.40171912,-0.808289
-0.45856944,0.8689022
-0.5459599,-0.22992669
-0.41895628,-0.74059564
-0.36594182,0.105867825
-0.34855255,-0.93655
-0.5315551,0.39356446
-0.33061445,-0.37125134
-0.3762789,-0.93655
-0.42886993,-0.6120377
-0.42479524,-0.3368109
-0.3234002,1.3026739
-0.33060226,-0.41905233
-0.29778048,2.1960478
-0.28489673,1.920227
-0.33708018,2.3525143
-0.42522687,-0.6046152
-0.504042,-0.8474798
-0.32018796,-0.80591375
-0.31145918,-0.42439654
-0.28572783,-0.90270334
-0.2918269,-0.83560383
-0.41226006,-0.7613787
-0.33175102,1.2967359
-0.38504228,0.40662807
-0.33898482,1.1019691
-0.4070674,0.18721858
-0.41126174,-0.63578975
-0.28804475,-0.4445858
-0.3540657,-0.8801389
-0.23802346,-0.78127104
-0.2466478,-0.2991045
-0.29642943,1.0794047
-0.32325202,0.39089236
-0.31648186,0.3036036
-0.18511997,-0.10522847
-0.17481203,0.113884136
-0.16530746,1.2290426
-0.36705428,-0.69695127
-0.18200646,1.4140116
-0.17127536,-0.86143416
-0.31279543,0.29736868
-0.21771874,-0.69160706
-0.17152315,-0.11740139
-0.17917407,0.02273567
-0.17446363,-0.8216495
-0.14475201,-0.92348635
-0.16376683,-0.93655
-0.17736946,-0.9303151
-0.12283367,-0.93061197
-0.044034254,-0.31721547
-0.1647722,0.16049753
-0.1412017,-0.5942237
-0.17954054,0.06370795
-0.17849265,-0.6331176
-0.12254658,-0.70674896
-0.09777877,-0.6702302
-0.16995329,1.0434798
-0.06625496,-0.22666079
-0.16175133,-0.93655
-0.11285103,0.48619744
0.006505152,-0.10879128
0.023174966,1.5998714
0.009411285,-0.63371146
-0.17511167,-0.8263999
-0.118137725,0.51885647
0.026567196,0.025407774
0.0059016068,1.3846185
-0.17500709,0.33952856
-0.17340405,-0.121854894
-0.11509586,-0.8831079
-0.17403601,-0.5051535
-0.11935178,-0.25456944
-0.023166062,-0.90478164
-0.049571075,-0.18806373
-0.1731204,-0.6176788
0.09160792,-0.93655
-0.04786607,1.1705532
-0.0348481,-0.73495454
0.0579995,-0.26496097
0.011740603,-0.6755744
0.08988474,-0.86529386
-0.107461415,-0.6657767
0.08969901,-0.7952253
