tag,step,value
loss,0,0.693023681640625
loss,47,0.69354248046875
loss,95,0.692474365234375
loss,142,0.6939697265625
loss,190,0.69244384765625
loss,238,0.6927490234375
loss,285,0.691925048828125
loss,333,0.692413330078125
loss,380,0.69317626953125
loss,428,0.69256591796875
loss,476,0.693267822265625
loss,523,0.6915283203125
loss,571,0.69476318359375
loss,619,0.690643310546875
loss,666,0.692596435546875
loss,714,0.690704345703125
loss,761,0.694915771484375
loss,809,0.69219970703125
loss,857,0.68878173828125
loss,904,0.687652587890625
loss,952,0.691699206829071
loss,1000,0.6907958984375
loss,1047,0.695220947265625
loss,1095,0.689300537109375
loss,1142,0.69781494140625
loss,1190,0.6856689453125
loss,1238,0.687103271484375
loss,1285,0.681243896484375
loss,1333,0.687713623046875
loss,1380,0.693023681640625
loss,1428,0.6888427734375
loss,1476,0.693115234375
loss,1523,0.68621826171875
loss,1571,0.6982421875
loss,1619,0.682952880859375
loss,1666,0.690826416015625
loss,1714,0.684478759765625
loss,1761,0.69879150390625
loss,1809,0.689788818359375
loss,1857,0.67962646484375
loss,1904,0.6771240234375
loss,1952,0.6864258050918579
loss,2000,0.6876220703125
loss,2047,0.697998046875
loss,2095,0.68267822265625
loss,2142,0.705474853515625
loss,2190,0.67364501953125
loss,2238,0.678680419921875
loss,2285,0.664215087890625
loss,2333,0.68072509765625
loss,2380,0.693267822265625
loss,2428,0.682952880859375
loss,2476,0.69354248046875
loss,2523,0.677459716796875
loss,2571,0.7049560546875
loss,2619,0.670654296875
loss,2666,0.688446044921875
loss,2714,0.674468994140625
loss,2761,0.705810546875
loss,2809,0.685943603515625
loss,2857,0.665252685546875
loss,2904,0.660675048828125
loss,2952,0.678417980670929
loss,3000,0.683319091796875
loss,3047,0.70294189453125
loss,3095,0.672760009765625
loss,3142,0.717926025390625
loss,3190,0.656158447265625
loss,3238,0.66668701171875
loss,3285,0.639739990234375
loss,3333,0.671630859375
loss,3380,0.69427490234375
loss,3428,0.675079345703125
loss,3476,0.694488525390625
loss,3523,0.665924072265625
loss,3571,0.71502685546875
loss,3619,0.654998779296875
loss,3666,0.686248779296875
loss,3714,0.662078857421875
loss,3761,0.714996337890625
loss,3809,0.681732177734375
loss,3857,0.6488037109375
loss,3904,0.641357421875
loss,3952,0.6675781011581421
loss,4000,0.67901611328125
loss,4047,0.70843505859375
loss,4095,0.661468505859375
loss,4142,0.731597900390625
loss,4190,0.63861083984375
loss,4238,0.654876708984375
loss,4285,0.615997314453125
loss,4333,0.66253662109375
loss,4380,0.69488525390625
loss,4428,0.666290283203125
loss,4476,0.6949462890625
loss,4523,0.653839111328125
loss,4571,0.723846435546875
