epoch,train_loss,val_loss,test_loss,train_mse,train_pearson,train_r2,val_mse,val_pearson,val_r2,test_mse,test_pearson,test_r2
1,1.0495338035868254,1.522329510507953,1.2997164047816536,1.0495338439941406,0.4649304747581482,-0.12067556381225586,1.5223294496536255,0.4551091194152832,-0.4935011863708496,1.2997163534164429,0.436160147190094,-0.11924266815185547
2,0.7577874475646768,0.903857481152597,0.9646483005638613,0.7577874064445496,0.5152798891067505,0.19084668159484863,0.9038574695587158,0.5260999798774719,0.11325883865356445,0.9646483063697815,0.4627082943916321,0.16929906606674194
3,0.8187036150652431,0.7782914123036994,0.994529390251358,0.8187036514282227,0.5388749837875366,0.12580126523971558,0.7782913446426392,0.5551008582115173,0.23644715547561646,0.9945294260978699,0.47555506229400635,0.14356714487075806
4,0.695700534486146,0.840010378266238,0.9145264026968778,0.6957005262374878,0.5546517968177795,0.2571420669555664,0.8400103449821472,0.5829206109046936,0.17589694261550903,0.9145264029502869,0.487987756729126,0.21246123313903809
5,0.6913157343365985,0.8872148220579387,0.9269181894304884,0.691315770149231,0.5674861669540405,0.26182401180267334,0.8872147798538208,0.6058529615402222,0.1295863389968872,0.9269182085990906,0.4976405203342438,0.20179015398025513
6,0.6946926372165763,0.9224980068695969,0.940355047636496,0.6946927309036255,0.576337456703186,0.2582182288169861,0.9224980473518372,0.6118247509002686,0.09497129917144775,0.9403550624847412,0.5100691318511963,0.19021904468536377
7,0.8001301810015623,0.6885933127843452,0.9561493337970398,0.8001302480697632,0.5820033550262451,0.14563369750976562,0.688593327999115,0.6131964921951294,0.32444655895233154,0.9561493396759033,0.5196239948272705,0.17661792039871216
8,1.067168736087373,1.5389524903338478,1.3724540211871794,1.0671688318252563,0.5918000340461731,-0.13950574398040771,1.5389525890350342,0.6360687017440796,-0.5098094940185547,1.372454047203064,0.5256103873252869,-0.18188035488128662
9,0.6666394977491861,0.6563120399250135,0.8496654128338784,0.666639506816864,0.5964064598083496,0.28817301988601685,0.6563120484352112,0.6278253793716431,0.35611653327941895,0.8496654629707336,0.5373461246490479,0.268315851688385
10,0.7370329201269551,0.6369735415900489,0.9057349109455003,0.737032949924469,0.6017736792564392,0.21300798654556274,0.6369735598564148,0.6395969390869141,0.37508881092071533,0.9057348966598511,0.5362200736999512,0.22003203630447388
